,Q3 2018,Q4 2018,Q1 2019,"Q2 2019
(Audited)",Q3 2019
0, , , , , 
1,"31,834,301","26,013,633","28,055,962","29,254,318","30,494,640"
2,"3,976,152","2,515,617","6,110,879","5,900,076","3,972,944"
3,,,,,
4,,,,,
5,"5,900,896","3,724,563","3,219,966","2,607,379","1,840,768"
6,,,,,
7,,,,,
8,"5,640,204","3,915,158","4,989,303","4,121,219","3,854,082"
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,"14,770,217","14,115,158","12,658,140","15,391,106","18,945,703"
16,,,,,
17,,,,,
18,"1,546,832","1,743,137","1,077,674","1,234,537","1,881,143"
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,"38,268,471","52,211,329","56,890,767","63,764,944","66,953,717"
24,"22,307","22,302","23,145","23,193","22,801"
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,"13,086,356","12,782,561","14,137,741","13,820,711","15,086,409"
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,"182,134","179,741","176,714","173,687","175,243"
41,,,,,
42,,,,,
43,"22,031","66,585","59,090","3,772","25,879"
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,"1,614,903","1,755,774","1,734,963","1,723,908","1,653,076"
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,"70,102,772","78,224,963","84,946,730","93,019,262","97,448,356"
54, , , , , 
55,"31,069,071","37,616,013","42,735,605","48,763,172","51,398,830"
56,"21,460,455","24,299,196","21,872,971","22,370,696","24,505,626"
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,"9,608,616","13,316,817","20,862,635","26,392,476","26,893,205"
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,"39,033,701","40,608,950","42,211,124","44,256,090","46,049,526"
76,"39,033,701","40,608,950","42,211,124","44,256,090","46,049,526"
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,"70,102,772","78,224,963","84,946,730","93,019,262","97,448,356"
